Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
12.828125,-4.135539782490462e+304,-4.135539782490462e+304,-3.8601536992184794e+304,-3.7224627504046705e+304,-3.5847718015909867e+304,-3.584771801558928e+304,-3.584771801558928e+304,-3.4470808527452443e+304,-3.4470808527131856e+304,-3.309389903867443e+304,-3.1733104035772195e+304,-3.173310403545161e+304,-1.861525412008959e+304,-1.7926799375219706e+304
12.8359375,-2.216511815136207e+304,-1.8612523028814782e+304,-1.3889580974111163e+305,-4.258958737575695e+305,-4.699563076644912e+305,-5.580791846648102e+305,-6.2434362087880506e+305,-7.665981073491645e+305,-1.0755414963013535e+306,-1.119602599983285e+306,-1.3397380160733907e+306,-1.2519600310239459e+306,-1.7163277511220108e+306,-2.0681281359895025e+306
12.84375,-2.7717208691842358e+306,-2.9107906296274566e+306,-3.4395238731540725e+306,-3.9682571167627585e+306,-5.201968018461646e+306,-5.843611477531786e+306,-7.253566793630118e+306,-7.95854445180239e+306,-7.958565882138679e+306,-6.901099395003377e+306,-7.253588223884337e+306,-7.958565881974539e+306,-9.721010027200042e+306,-1.0073498856245142e+307
12.8515625,-1.0778476514335344e+307,-1.1130965343380444e+307,-9.375400283577859e+306,-1.043286677046791e+307,-1.174508442248109e+307,-1.3155039738825633e+307,-1.043286677054998e+307,-1.0785355599595081e+307,-1.174508442248109e+307,-1.2450062080571292e+307,-1.0080404729383565e+307,-1.0432893558510736e+307,-9.727915900584675e+306,-8.670449413367303e+306
12.859375,-1.0080404729383565e+307,-1.0080404729465635e+307,-1.0432893558510736e+307,-1.0785382387473766e+307,-1.0081786975487478e+307,-1.0434275804450191e+307,-1.0786764633495292e+307,-1.0786764633577362e+307,-1.1139253462540393e+307,-1.2452880148371713e+307,-1.3862835464552116e+307,-1.5272790780732518e+307,-9.732051923480779e+306,-1.0084540752608911e+307
12.8671875,-9.027074265473609e+306,-1.008454075244477e+307,-9.379563094436639e+306,-9.73205192339967e+306,-9.73205192348174e+306,-1.0084551467612912e+307,-5.562069916121222e+306,-6.916304101978432e+306,-5.3858255018040085e+306,-3.800306179066778e+306,-3.4457546957473477e+306,-4.151415440574629e+306,-3.6213053086515986e+306,-2.77379825651742e+306
12.875,-4.852929446106773e+306,-6.9052267134305384e+305,-2.7780639313756385e+307,-1.5247942498754887e+307,-1.2430753497433063e+307,-2.912183591637343e+306,-4.2676145190692095e+305,-9.898408983799158e+305,-4.280552985248131e+305,-6.2555442552327774e+305,-2.232809633472706e+307,-3.793400307077018e+306,-4.143821123483728e+306,-3.439534588773442e+306
12.8828125,-7.965471753963655e+306,-5.382367207527458e+306,-7.230526674102951e+305,-2.8941012142803847e+305,-7.829680539912442e+307,-1.6826996882016832e+308,-4.3312349468462903e+307,-8.677387432584649e+306,-8.331825905291744e+306,-1.0097029185264431e+307,-9.740425763166777e+306,-1.0091548418819468e+307,-1.0091548418819468e+307,-8.684346879842245e+306
12.890625,-5.566243442393715e+306,-3.4526873567657365e+306,-2.0733249527766805e+306,-3.1204641045817803e+305,-1.4431747590488777e+305,-1.3880983795872695e+305,-1.9018591296707224e+305,-1.79170637074801e+305,-1.498467951669532e+305,-1.2230860541062817e+305,-1.6636970902587759e+305,-1.278160759438027e+305,-1.2232978444409501e+305,-8.926244283992782e+304
12.8984375,-1.3883118440900693e+305,-1.4427436443855874e+305,-9.468394154583053e+304,-8.293727742140485e+304,-8.570172777214293e+304,-8.019408981895441e+304,-7.194330611783807e+304,-7.466489612491989e+304,-6.916788954619576e+304,-6.641407056863974e+304,-6.090634890384126e+304,-5.815252992692641e+304,-5.5398710950011565e+304,-5.812030095709339e+304
12.90625,-5.537715521044792e+304,-5.538778658427114e+304,-5.26339676073563e+304,-5.535555761507929e+304,-5.536623084534867e+304,-5.534471696159e+304,-5.534471696094882e+304,-5.810912545652061e+304,-4.98907381503782e+304,-5.534496809450384e+304,-7.454602563686652e+304,-4.98688057104833e+304,-3.4502995643404e+304,-3.859603295383396e+304
12.9140625,-3.720834559847372e+304,-7.202931978229061e+304,-3.0150544446317108e+305,-9.029321746578774e+305,-1.9862461267756853e+306,-2.7793406347277477e+306,-3.8065530741250237e+306,-3.8072361608212276e+306,-3.982103686783382e+306,-3.8051761855646265e+306,-2.7783026109284344e+306,-2.924637199689115e+306,-1.2540374183982452e+306,-1.9810479707058983e+306
12.921875,-4.714826214215332e+304,-7.186746338319626e+304,-6.631667210661402e+304,-3.4459988808917296e+304,-4.2764452571901933e+304,-1.8596199266475673e+304,-3.0046675068633794e+305,-1.252130133005157e+306,-2.0695090423995708e+306,-5.3823672074046746e+306,-9.874226377406285e+305,-9.874192890093825e+305,-5.361340186916267e+305,-4.9207291505075026e+305
12.9296875,-5.3613401867625845e+305,-4.4801181143037145e+305,-4.039507077792163e+305,-5.141034668506809e+305,-6.68317329552783e+305,-8.10482412080133e+305,-6.895720421773293e+305,-7.652125128119109e+305,-6.455959895731431e+305,-4.252898017321851e+305,-3.221090481880655e+305,-3.1113629777568907e+305,-3.3308079405598308e+305,-3.3316684959356242e+305
12.9375,-4.0377692248718634e+305,-4.037772573387758e+305,-3.0033766752229957e+305,-3.003376675120408e+305,-2.0115765885037803e+305,-1.7912710703505924e+305,-1.608186247580219e+305,-1.662832349392099e+305,-1.7174767770485705e+305,-1.6624003975358698e+305,-1.5522476384720993e+305,-1.4971712589209789e+305,-1.6073240179334555e+305,-1.7174767770998137e+305
12.9453125,-1.2768657407934379e+305,-1.8996993701336594e+305,-1.222645731012117e+305,-1.0574165923717288e+305,-1.0023402128206084e+305,-1.0574165923460819e+305,-8.92187453705544e+304,-1.1675693514098524e+305,-1.0574165923845523e+305,-8.572303237752289e+304,-1.1664944943636653e+305,-1.1114181148509652e+305,-1.0563417353126682e+305,-1.0563417352998447e+305
12.953125,-9.461889762360743e+304,-9.461889762232508e+304,-8.911125966849538e+304,-8.911125966849538e+304,-7.195389563777483e+304,-7.195389563777483e+304,-7.470771461468968e+304,-7.746153359160453e+304,-6.920007666085998e+304,-6.64462576845863e+304,-6.644625768394513e+304,-6.917856277582397e+304,-6.9167805833944635e+304,-6.916780583521948e+304
