F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2290.9608,2393.1801,2108.1105000000002,2134.6407,2249.0847000000003,2401.5033,2367.9504,1939.5657,2261.8296,2308.9077,2005.8912,2027.4795000000001,2253.2463000000002,1822.0005
2291.2209000000003,2393.4402000000005,2108.3706,2136.2013,2250.1251,2400.723,2368.4706,1941.3863999999999,2261.0493,2307.6072000000004,2006.1513,2028.78,2253.5064,1823.0409000000002
2290.4406000000004,2392.92,2106.2898000000005,2139.5826,2250.6453,2401.2432,2370.0312,1939.5657,2260.5290999999997,2307.6072000000004,2005.371,2026.179,2253.5064,1823.0409000000002
2290.9608,2392.6599,2107.5903,2137.7619000000004,2248.3044000000004,2401.2432,2369.5110000000004,1938.5253000000002,2262.0897,2308.1274,2006.4114,2025.9189,2253.2463000000002,1822.7808
2291.481,2394.2205000000004,2109.9312,2136.9816,2247.7842,2402.0235000000002,2370.0312,1938.7854,2262.3498000000004,2307.6072000000004,2006.4114,2027.7396,2254.0266,1821.2202
2290.9608,2394.2205000000004,2108.6306999999997,2138.8023000000003,2249.0847000000003,2400.9831000000004,2368.9908,1939.5657,2260.269,2307.8673000000003,2007.7119,2029.3002000000001,2255.5872000000004,1822.7808
2290.7007,2394.7407,2106.0297,2136.4614,2249.3448000000003,2401.2432,2369.2509,1940.8662,2261.0493,2309.1677999999997,2006.4114,2028.5199000000002,2253.7664999999997,1825.3817999999999
2290.4406000000004,2396.8215,2107.8504,2132.5598999999997,2248.5645,2402.8038,2370.2913000000003,1939.8258,2262.6099,2309.4279,2004.8508,2027.7396,2252.9862,1824.3414
2289.4002,2395.521,2110.1913,2132.2998000000002,2247.5241,2400.9831000000004,2368.4706,1939.5657,2262.0897,2308.6476000000002,2006.4114,2028.2598,2255.8473000000004,1824.0813
2289.9204,2392.92,2106.81,2134.9008,2248.3044000000004,2400.723,2367.9504,1940.0859,2261.3094,2307.087,2005.371,2027.7396,2253.5064,1824.0813
2291.481,2392.1397,2106.5499,2135.9412,2248.3044000000004,2401.7634000000003,2368.7307,1939.5657,2261.8296,2307.3471,2005.6311,2027.7396,2251.6857,1823.5611000000001
2290.9608,2392.3998,2108.8908,2136.2013,2248.3044000000004,2401.7634000000003,2370.5514000000003,1940.0859,2262.0897,2308.6476000000002,2007.1917,2028.2598,2254.8069000000005,1822.7808
2289.9204,2393.1801,2108.3706,2138.5422000000003,2249.3448000000003,2401.2432,2371.0715999999998,1940.6061000000002,2261.8296,2308.3875,2005.8912,2028.5199000000002,2255.067,1823.301
2291.2209000000003,2394.2205000000004,2106.81,2138.5422000000003,2247.7842,2398.9023,2368.7307,1940.0859,2261.5695,2307.8673000000003,2005.8912,2028.5199000000002,2254.5468,1824.6015
2291.7410999999997,2394.7407,2106.2898000000005,2138.022,2248.3044000000004,2399.1623999999997,2370.0312,1939.8258,2260.7892,2308.1274,2005.6311,2027.7396,2254.0266,1822.5207
2291.481,2393.9604,2108.8908,2137.7619000000004,2248.5645,2400.2028,2370.0312,1939.3056,2261.3094,2308.3875,2005.8912,2028.5199000000002,2253.7664999999997,1822.5207
2292.2613,2392.92,2109.411,2136.4614,2247.0039,2400.9831000000004,2368.7307,1939.8258,2262.0897,2308.3875,2006.4114,2028.2598,2254.0266,1824.6015
2290.1805,2393.7003,2107.8504,2136.4614,2247.2639999999997,2402.0235000000002,2369.7711,1940.0859,2261.0493,2308.9077,2005.371,2027.9997,2253.7664999999997,1823.0409000000002
2288.88,2393.9604,2109.9312,2133.0801,2247.5241,2401.5033,2368.7307,1940.0859,2261.0493,2309.688,2005.371,2029.3002000000001,2254.5468,1822.2606
2290.1805,2393.1801,2108.8908,2132.2998000000002,2248.5645,2401.7634000000003,2369.5110000000004,1940.6061000000002,2262.6099,2308.1274,2004.3306,2028.2598,2254.0266,1822.0005
2291.481,2393.4402000000005,2108.3706,2135.6811,2249.6049,2401.7634000000003,2368.9908,1940.346,2263.3902000000003,2306.3067,2005.8912,2028.5199000000002,2252.9862,1822.0005
2291.2209000000003,2393.7003,2109.6711,2135.6811,2248.8246,2400.723,2366.91,1940.6061000000002,2262.0897,2307.6072000000004,2008.2321,2030.0805,2254.5468,1824.3414
2290.4406000000004,2393.7003,2107.5903,2136.7214999999997,2247.5241,2400.9831000000004,2369.7711,1941.6465,2260.7892,2309.4279,2005.8912,2028.78,2254.5468,1823.8211999999999
2291.2209000000003,2393.4402000000005,2107.3302000000003,2138.5422000000003,2248.3044000000004,2399.6826,2370.5514000000003,1940.6061000000002,2261.3094,2309.1677999999997,2006.6715000000002,2028.5199000000002,2254.5468,1822.5207
2290.9608,2393.4402000000005,2107.8504,2138.022,2249.3448000000003,2399.6826,2368.4706,1940.0859,2262.3498000000004,2308.9077,2007.4518000000003,2028.2598,2254.2867,1822.7808
2290.1805,2392.92,2107.8504,2136.4614,2247.5241,2399.9427,2368.9908,1940.6061000000002,2261.5695,2310.2082,2006.1513,2027.4795000000001,2254.0266,1824.0813
2290.4406000000004,2392.92,2108.3706,2135.6811,2246.4836999999998,2400.2028,2368.9908,1940.0859,2262.0897,2309.688,2006.9316,2027.9997,2254.5468,1824.3414
2288.88,2395.0008,2107.3302000000003,2136.7214999999997,2248.0443,2401.7634000000003,2367.6902999999998,1939.3056,2263.6503,2307.6072000000004,2006.6715000000002,2027.4795000000001,2254.2867,1822.2606
2290.4406000000004,2395.0008,2107.3302000000003,2135.6811,2248.3044000000004,2401.5033,2366.3898000000004,1942.1667,2263.6503,2306.5668,2006.6715000000002,2028.5199000000002,2254.8069000000005,1823.8211999999999
2292.5214,2393.1801,2107.3302000000003,2133.8604,2247.7842,2401.7634000000003,2368.2105,1943.9874000000002,2262.3498000000004,2305.7864999999997,2006.1513,2029.3002000000001,2254.8069000000005,1825.1217000000001
2290.9608,2393.4402000000005,2107.8504,2135.6811,2247.7842,2402.2835999999998,2369.7711,1941.1263000000001,2262.6099,2306.0466,2006.1513,2029.0401000000002,2254.5468,1823.301
2290.9608,2393.7003,2108.3706,2135.6811,2247.5241,2401.7634000000003,2366.91,1940.346,2263.3902000000003,2307.8673000000003,2008.4922000000001,2030.0805,2255.067,1824.0813
2290.7007,2393.7003,2106.5499,2136.2013,2248.5645,2403.0639,2367.6902999999998,1942.4268000000002,2262.87,2308.1274,2007.4518000000003,2029.3002000000001,2254.5468,1823.5611000000001
2290.4406000000004,2393.4402000000005,2107.8504,2137.7619000000004,2248.5645,2401.5033,2370.0312,1940.6061000000002,2262.0897,2307.6072000000004,2006.6715000000002,2028.5199000000002,2254.0266,1822.0005
2292.2613,2392.6599,2107.5903,2137.7619000000004,2247.2639999999997,2399.6826,2369.7711,1938.5253000000002,2261.8296,2308.6476000000002,2006.4114,2027.4795000000001,2253.5064,1822.2606
2290.9608,2392.6599,2103.9489000000003,2137.7619000000004,2248.5645,2401.5033,2370.5514000000003,1939.0455000000002,2260.7892,2309.688,2003.8104,2025.3987,2252.4660000000003,1822.2606
2288.0997,2393.1801,2104.7292,2136.4614,2249.3448000000003,2402.0235000000002,2370.8115,1938.5253000000002,2261.0493,2309.4279,2003.8104,2025.6588000000002,2252.9862,1822.7808
2288.88,2394.4806000000003,2107.3302000000003,2136.2013,2247.7842,2400.4629,2370.0312,1938.5253000000002,2262.3498000000004,2308.6476000000002,2004.3306,2027.7396,2252.4660000000003,1822.5207
2292.2613,2393.9604,2108.6306999999997,2136.9816,2246.4836999999998,2399.9427,2367.9504,1940.8662,2262.3498000000004,2307.8673000000003,2006.6715000000002,2029.5603,2253.2463000000002,1823.5611000000001
2292.0012,2392.92,2108.3706,2135.1609000000003,2246.2236,2400.723,2366.6499,1941.6465,2261.8296,2308.3875,2007.9720000000002,2029.3002000000001,2256.3675,1824.8616
2289.6603,2393.7003,2108.6306999999997,2135.4210000000003,2247.0039,2402.0235000000002,2367.1701000000003,1940.6061000000002,2262.3498000000004,2308.9077,2005.6311,2028.5199000000002,2255.067,1823.301
2290.9608,2394.4806000000003,2110.4514000000004,2136.2013,2248.5645,2400.723,2366.1297,1941.6465,2262.0897,2308.3875,2006.9316,2029.5603,2254.2867,1824.6015
2291.481,2394.7407,2108.6306999999997,2136.2013,2249.0847000000003,2400.2028,2367.9504,1942.4268000000002,2261.0493,2307.6072000000004,2007.9720000000002,2028.2598,2255.5872000000004,1825.6419
2290.4406000000004,2394.2205000000004,2107.5903,2136.4614,2247.7842,2401.2432,2369.5110000000004,1941.1263000000001,2261.0493,2308.6476000000002,2007.1917,2027.9997,2253.7664999999997,1824.6015
2291.481,2393.1801,2108.1105000000002,2136.9816,2247.7842,2399.6826,2367.1701000000003,1940.0859,2262.0897,2309.4279,2007.4518000000003,2029.5603,2251.6857,1823.5611000000001
2291.2209000000003,2393.4402000000005,2106.0297,2138.8023000000003,2250.1251,2399.9427,2368.2105,1940.0859,2261.3094,2307.8673000000003,2006.4114,2027.4795000000001,2252.4660000000003,1823.301
2289.9204,2393.7003,2107.0701000000004,2136.4614,2248.5645,2401.2432,2368.9908,1940.346,2260.5290999999997,2306.8269000000005,2006.4114,2027.4795000000001,2254.2867,1824.8616
2289.6603,2392.92,2107.3302000000003,2134.6407,2245.9635000000003,2400.9831000000004,2369.7711,1940.0859,2262.0897,2308.3875,2006.4114,2028.2598,2252.7261,1823.8211999999999
2289.6603,2393.7003,2104.9893,2136.7214999999997,2247.7842,2400.9831000000004,2370.0312,1940.8662,2262.87,2309.1677999999997,2005.371,2027.7396,2252.2059,1822.0005
2288.88,2393.7003,2106.0297,2134.9008,2249.8650000000002,2402.8038,2369.7711,1942.4268000000002,2262.3498000000004,2308.1274,2005.8912,2026.6992,2253.5064,1822.5207
